reaction_time:0ship_height:500,[nan]
reaction_time:458ship_height:500,[0.80858272]
reaction_time:459ship_height:500,[0.80297443]
reaction_time:460ship_height:500,[0.80334448]
reaction_time:461ship_height:500,[0.81357113]
reaction_time:462ship_height:500,[0.80039443]
reaction_time:463ship_height:500,[0.79654688]
reaction_time:464ship_height:500,[0.79954504]
reaction_time:465ship_height:500,[0.79835518]
reaction_time:466ship_height:500,[0.81006536]
reaction_time:467ship_height:500,[0.79626627]
reaction_time:468ship_height:500,[0.7902521]
reaction_time:469ship_height:500,[0.78460663]
reaction_time:470ship_height:500,[0.78934547]
reaction_time:471ship_height:500,[0.79194543]
reaction_time:472ship_height:500,[0.79233265]
reaction_time:473ship_height:500,[0.78998181]
reaction_time:474ship_height:500,[0.78713891]
reaction_time:475ship_height:500,[0.7881123]
reaction_time:476ship_height:500,[0.77872205]
reaction_time:477ship_height:500,[0.78101439]
reaction_time:478ship_height:500,[0.77963339]
reaction_time:479ship_height:500,[0.78027054]
reaction_time:480ship_height:500,[0.77619241]
reaction_time:481ship_height:500,[0.77449897]
reaction_time:482ship_height:500,[0.78373416]
reaction_time:483ship_height:500,[0.77552525]
reaction_time:484ship_height:500,[0.77845702]
reaction_time:485ship_height:500,[0.76434585]
reaction_time:486ship_height:500,[0.76510244]
reaction_time:487ship_height:500,[0.77132225]
reaction_time:488ship_height:500,[0.77404441]
reaction_time:489ship_height:500,[0.76562015]
reaction_time:490ship_height:500,[0.76544371]
reaction_time:491ship_height:500,[0.7609452]
reaction_time:492ship_height:500,[0.75710485]
reaction_time:493ship_height:500,[0.76228985]
reaction_time:494ship_height:500,[0.75752276]
reaction_time:495ship_height:500,[0.76472966]
reaction_time:496ship_height:500,[0.75401611]
reaction_time:497ship_height:500,[0.74420751]
reaction_time:498ship_height:500,[0.75422754]
reaction_time:499ship_height:500,[0.75464101]
reaction_time:500ship_height:500,[0.74006332]
reaction_time:501ship_height:500,[0.75026174]
reaction_time:502ship_height:500,[0.75280989]
reaction_time:503ship_height:500,[0.74291853]
reaction_time:504ship_height:500,[0.74406251]
reaction_time:505ship_height:500,[0.74003852]
reaction_time:506ship_height:500,[0.75013997]
reaction_time:507ship_height:500,[0.7440644]
reaction_time:508ship_height:500,[0.73779883]
reaction_time:509ship_height:500,[0.72017547]
reaction_time:510ship_height:500,[0.74320394]
reaction_time:511ship_height:500,[0.72513664]
reaction_time:512ship_height:500,[0.72966568]
reaction_time:513ship_height:500,[0.72739687]
reaction_time:514ship_height:500,[0.73789618]
reaction_time:515ship_height:500,[0.72688028]
reaction_time:516ship_height:500,[0.73954787]
reaction_time:517ship_height:500,[0.71783185]
reaction_time:518ship_height:500,[0.72912393]
reaction_time:519ship_height:500,[0.71189091]
reaction_time:520ship_height:500,[0.71978164]
reaction_time:521ship_height:500,[0.72203964]
reaction_time:522ship_height:500,[0.72326644]
reaction_time:523ship_height:500,[0.72457283]
reaction_time:524ship_height:500,[0.73623933]
reaction_time:525ship_height:500,[0.71079905]
reaction_time:526ship_height:500,[0.69932755]
reaction_time:527ship_height:500,[0.71491862]
reaction_time:528ship_height:500,[0.71063612]
reaction_time:529ship_height:500,[0.71928493]
reaction_time:530ship_height:500,[0.70243169]
reaction_time:531ship_height:500,[0.72253441]
reaction_time:532ship_height:500,[0.70192173]
reaction_time:533ship_height:500,[0.69304796]
reaction_time:534ship_height:500,[0.68352167]
